price,date,time
1.0635842444510557,2022-01-30,00:03:47
1.0642728206394054,2022-01-30,00:09:06
1.0658688734828303,2022-01-30,00:14:18
1.0651135255392157,2022-01-30,00:19:10
1.0646046327994627,2022-01-30,00:24:09
1.0625096802257907,2022-01-30,00:29:33
1.0600376898779176,2022-01-30,00:34:47
1.0588184841765529,2022-01-30,00:39:46
1.0532732130596487,2022-01-30,00:45:13
1.0532916667675687,2022-01-30,00:50:37
1.0559406232261683,2022-01-30,00:54:12
1.0562278253689694,2022-01-30,00:59:25
1.0547503572188408,2022-01-30,01:03:14
1.0564417806657087,2022-01-30,01:08:52
1.0584308931144546,2022-01-30,01:15:04
1.0586344187972596,2022-01-30,01:19:53
1.0591456875478358,2022-01-30,01:24:17
1.0619456584796485,2022-01-30,01:29:39
1.0619663066204479,2022-01-30,01:34:39
1.0599036575932308,2022-01-30,01:40:04
1.059031523115044,2022-01-30,01:43:26
1.0582214108823271,2022-01-30,01:49:16
1.0587171339316768,2022-01-30,01:54:50
1.0586898372461226,2022-01-30,01:59:33
1.0600423829780228,2022-01-30,02:04:35
1.0597819794164616,2022-01-30,02:09:17
1.0585000133349267,2022-01-30,02:14:56
1.059474904392932,2022-01-30,02:19:42
1.0601789597182762,2022-01-30,02:24:35
1.0622966911517087,2022-01-30,02:29:41
1.0630850287114588,2022-01-30,02:34:37
1.0648094539995885,2022-01-30,02:40:18
1.065922948026926,2022-01-30,02:44:18
1.0653204902950097,2022-01-30,02:48:25
1.0632939016963447,2022-01-30,02:54:50
1.0637205629804363,2022-01-30,03:00:15
1.0644685305110466,2022-01-30,03:04:46
1.0650410733927382,2022-01-30,03:09:28
1.0662968365487577,2022-01-30,03:14:20
1.0670195326478893,2022-01-30,03:19:30
1.0674188820356951,2022-01-30,03:24:39
1.06786819630905,2022-01-30,03:29:17
1.0667789844881326,2022-01-30,03:34:02
1.0660666340027798,2022-01-30,03:39:33
1.0654358886807551,2022-01-30,03:44:49
1.0647315107675894,2022-01-30,03:49:04
1.0629966000517992,2022-01-30,03:54:48
1.0623814597205723,2022-01-30,04:00:02
1.0631290235485586,2022-01-30,04:03:43
1.0632418582729113,2022-01-30,04:09:33
1.0626772778581113,2022-01-30,04:14:17
1.0637563769309335,2022-01-30,04:19:19
1.0656910058126847,2022-01-30,04:24:50
1.0672469303015029,2022-01-30,04:29:17
1.0691755480829979,2022-01-30,04:34:18
1.0698855201589845,2022-01-30,04:39:31
1.0700624441310436,2022-01-30,04:44:23
1.0721526027808983,2022-01-30,04:48:48
1.0720317977783136,2022-01-30,04:54:56
1.0747255953747405,2022-01-30,04:59:06
1.0721006565246038,2022-01-30,05:03:55
1.0725948044254725,2022-01-30,05:09:28
1.07586786744912,2022-01-30,05:14:58
1.0750917030419047,2022-01-30,05:19:40
1.0746741451813469,2022-01-30,05:24:41
1.0747396852774955,2022-01-30,05:29:38
1.072180248519916,2022-01-30,05:34:32
1.0721065779771193,2022-01-30,05:39:55
1.0730135272672663,2022-01-30,05:44:41
1.074586343890128,2022-01-30,05:49:40
1.0744603067283218,2022-01-30,05:54:04
1.073937158158052,2022-01-30,05:59:22
1.0732777400447757,2022-01-30,06:04:44
1.0729989930288844,2022-01-30,06:09:27
1.0730304287927088,2022-01-30,06:14:53
1.0734980489873158,2022-01-30,06:19:42
1.0746565729308881,2022-01-30,06:25:10
1.0739856301862676,2022-01-30,06:29:50
1.0733075570178174,2022-01-30,06:34:23
1.0729206995907923,2022-01-30,06:39:58
1.072631381384452,2022-01-30,06:44:49
1.0725804372390524,2022-01-30,06:49:48
1.0709855674484257,2022-01-30,06:54:35
1.0718669190743504,2022-01-30,06:59:24
1.0752898856246154,2022-01-30,07:04:45
1.077910545182802,2022-01-30,07:09:33
1.0765833877595308,2022-01-30,07:15:08
1.0739841982031835,2022-01-30,07:19:27
1.0723362368285745,2022-01-30,07:24:31
1.0727080599656849,2022-01-30,07:29:53
1.0742359016948406,2022-01-30,07:34:37
1.0739833919122757,2022-01-30,07:39:25
1.0739671451637964,2022-01-30,07:44:50
1.0746368442093535,2022-01-30,07:49:32
1.0752583992702491,2022-01-30,07:54:34
1.0772150595830918,2022-01-30,07:59:30
1.0772929497784045,2022-01-30,08:04:19
1.0746558919119533,2022-01-30,08:09:17
1.0742364091845527,2022-01-30,08:15:09
1.0741520230992108,2022-01-30,08:19:56
1.072437787180519,2022-01-30,08:25:03
1.072458877644925,2022-01-30,08:29:41
1.0701278958599283,2022-01-30,08:34:30
1.0674213397141838,2022-01-30,08:39:12
1.0672532707518814,2022-01-30,08:44:57
1.0685198565658516,2022-01-30,08:49:54
1.0683042342885634,2022-01-30,08:54:25
1.0670896498051397,2022-01-30,09:00:07
1.066851961665309,2022-01-30,09:03:01
1.0678349241688705,2022-01-30,09:08:11
1.0683613644763428,2022-01-30,09:14:35
1.068642427666295,2022-01-30,09:20:10
1.0681612064026071,2022-01-30,09:24:53
1.064254314388168,2022-01-30,09:29:44
1.0657550757923018,2022-01-30,09:34:58
1.0664226812516278,2022-01-30,09:39:35
1.0660648595441393,2022-01-30,09:45:06
1.0650062872470776,2022-01-30,09:50:40
1.0647958959925203,2022-01-30,09:54:27
1.0661105455713882,2022-01-30,10:00:05
1.0655427463992946,2022-01-30,10:05:00
1.065859023630813,2022-01-30,10:10:40
1.0663927027347215,2022-01-30,10:14:43
1.067514562717204,2022-01-30,10:19:44
1.068923780389384,2022-01-30,10:22:48
1.0691134825950475,2022-01-30,10:29:38
1.0682911055259297,2022-01-30,10:34:56
