price,date,time
96.3466330722473,2022-01-30,00:00:14
96.21866541985288,2022-01-30,00:04:10
96.3293944076478,2022-01-30,00:09:11
96.4477707277781,2022-01-30,00:13:57
96.17715387729245,2022-01-30,00:18:45
95.92034165141463,2022-01-30,00:25:01
95.60031015081871,2022-01-30,00:29:52
95.35988867393573,2022-01-30,00:34:45
95.19697835682045,2022-01-30,00:39:26
94.70496864707385,2022-01-30,00:44:42
94.44120657194468,2022-01-30,00:50:05
94.69991287143444,2022-01-30,00:54:51
94.93047979190095,2022-01-30,00:59:26
94.41751004305594,2022-01-30,01:04:57
94.39610204499282,2022-01-30,01:08:27
94.39337521849195,2022-01-30,01:14:37
94.47472441919726,2022-01-30,01:19:25
94.45162322446483,2022-01-30,01:24:59
94.78589015159932,2022-01-30,01:30:04
94.87314772584578,2022-01-30,01:34:59
94.69584955984055,2022-01-30,01:38:54
94.56052360301346,2022-01-30,01:44:56
94.58628767851528,2022-01-30,01:50:10
94.63464955385939,2022-01-30,01:54:19
94.75976913701153,2022-01-30,01:59:38
94.86359784142455,2022-01-30,02:04:20
94.65008661146037,2022-01-30,02:09:29
94.37327891129972,2022-01-30,02:14:27
94.35191114221033,2022-01-30,02:18:34
94.45656013352755,2022-01-30,02:24:40
94.6238733978419,2022-01-30,02:29:24
94.71571157232162,2022-01-30,02:34:50
94.83532970524705,2022-01-30,02:40:34
94.93139091445353,2022-01-30,02:44:05
94.69359274148239,2022-01-30,02:50:07
94.47953976202407,2022-01-30,02:54:58
94.53086645881272,2022-01-30,02:59:38
94.8192212282815,2022-01-30,03:04:17
94.96429434208089,2022-01-30,03:09:21
94.9470147288872,2022-01-30,03:13:58
94.94784857272869,2022-01-30,03:20:21
95.0957155590957,2022-01-30,03:24:31
95.09323054437792,2022-01-30,03:29:21
95.03564860989916,2022-01-30,03:34:25
94.90627261112299,2022-01-30,03:39:31
94.9185733355642,2022-01-30,03:44:38
94.81855222522566,2022-01-30,03:49:49
94.54904296877527,2022-01-30,03:54:12
94.51850463284887,2022-01-30,03:59:23
94.62332325529827,2022-01-30,04:03:57
94.61789329486002,2022-01-30,04:09:16
94.57061384059095,2022-01-30,04:14:10
94.6368805580752,2022-01-30,04:19:15
94.7653098748661,2022-01-30,04:24:21
94.96168925372102,2022-01-30,04:29:24
95.05511900395543,2022-01-30,04:35:05
95.13570925483756,2022-01-30,04:40:14
95.10903786243759,2022-01-30,04:43:37
95.47165665614426,2022-01-30,04:49:17
95.50519516282861,2022-01-30,04:53:52
95.79877011738398,2022-01-30,04:59:11
95.5121998285635,2022-01-30,05:03:39
95.63194208159007,2022-01-30,05:09:17
96.11613702509757,2022-01-30,05:14:27
96.04714816102775,2022-01-30,05:20:06
96.08604441679626,2022-01-30,05:24:52
96.05607486139274,2022-01-30,05:30:13
95.92967580571191,2022-01-30,05:33:58
95.91778274517421,2022-01-30,05:40:06
96.04924074430554,2022-01-30,05:44:37
96.09984465114522,2022-01-30,05:49:43
96.08554701388368,2022-01-30,05:53:49
96.02503711731212,2022-01-30,05:59:27
95.9747351386403,2022-01-30,06:04:29
95.90160734265966,2022-01-30,06:09:06
95.96487593309354,2022-01-30,06:14:54
95.95385556934077,2022-01-30,06:19:42
96.02065071368669,2022-01-30,06:24:27
96.08065733498218,2022-01-30,06:29:52
96.18155319734383,2022-01-30,06:34:49
96.2576411348751,2022-01-30,06:40:19
96.20953243012372,2022-01-30,06:44:44
96.21021748610819,2022-01-30,06:49:49
96.08982160857742,2022-01-30,06:54:32
96.27325126730642,2022-01-30,06:59:26
96.75249119898993,2022-01-30,07:04:47
97.2894715341849,2022-01-30,07:09:34
97.28948642632547,2022-01-30,07:14:39
97.00836365694529,2022-01-30,07:19:57
96.92768690040396,2022-01-30,07:24:40
96.99760797220495,2022-01-30,07:30:05
97.18577702941114,2022-01-30,07:35:01
96.86370131380066,2022-01-30,07:39:38
96.70645028466987,2022-01-30,07:44:40
96.60634278068603,2022-01-30,07:49:50
96.58036837765235,2022-01-30,07:54:29
96.83238212094483,2022-01-30,07:59:29
96.87823304306997,2022-01-30,08:04:26
96.60137464196289,2022-01-30,08:09:47
96.62738380710653,2022-01-30,08:14:37
96.65632344304667,2022-01-30,08:19:59
96.5519961519388,2022-01-30,08:24:31
96.5004343261927,2022-01-30,08:30:06
96.07918136965249,2022-01-30,08:34:57
95.88575814985828,2022-01-30,08:39:59
95.86717253538191,2022-01-30,08:44:50
96.07565792169045,2022-01-30,08:49:15
96.06997594452196,2022-01-30,08:54:21
95.95494478234413,2022-01-30,09:00:20
95.89777398299717,2022-01-30,09:02:44
96.04762809402399,2022-01-30,09:08:04
96.1398534477707,2022-01-30,09:14:36
96.09060388406029,2022-01-30,09:19:29
96.01211856549143,2022-01-30,09:24:11
95.60758055877403,2022-01-30,09:29:51
95.70408728424522,2022-01-30,09:34:33
95.869987383843,2022-01-30,09:39:47
95.89922256050562,2022-01-30,09:44:42
95.78257712081857,2022-01-30,09:50:07
95.70332026658737,2022-01-30,09:54:51
95.69585626565814,2022-01-30,10:00:03
95.49461544120116,2022-01-30,10:04:58
95.63584878061368,2022-01-30,10:10:05
95.62347978771189,2022-01-30,10:14:43
95.81092841958058,2022-01-30,10:20:00
95.79693293108049,2022-01-30,10:23:09
95.89164317509365,2022-01-30,10:29:40
95.90287283758623,2022-01-30,10:34:29
96.02480710479631,2022-01-30,10:39:51
96.34000016502796,2022-01-30,10:44:41
96.32046215164853,2022-01-30,10:50:12
96.3319433116404,2022-01-30,10:54:53
96.44303165342924,2022-01-30,10:59:34
