price,date,time
2606.5524386211637,2022-01-30,00:03:03
2610.1605344297627,2022-01-30,00:08:05
2615.030771046586,2022-01-30,00:12:53
2618.2621154824196,2022-01-30,00:17:54
2612.39535509146,2022-01-30,00:24:43
2606.51852637048,2022-01-30,00:29:26
2601.3530440516747,2022-01-30,00:34:17
2598.450614209998,2022-01-30,00:38:15
2583.654481933338,2022-01-30,00:44:53
2575.8544588844666,2022-01-30,00:49:56
2582.0477609976465,2022-01-30,00:54:02
2581.6283363932034,2022-01-30,00:58:21
2576.1573030090863,2022-01-30,01:02:37
2578.3411306176995,2022-01-30,01:09:38
2579.6111052064944,2022-01-30,01:13:56
2582.5891967607467,2022-01-30,01:19:58
2583.0721496734677,2022-01-30,01:23:48
2590.015091308041,2022-01-30,01:29:42
2591.983132905495,2022-01-30,01:34:25
2587.6063046504855,2022-01-30,01:39:51
2584.908484406409,2022-01-30,01:44:27
2580.3023464688245,2022-01-30,01:48:59
2581.9627110695524,2022-01-30,01:53:43
2582.515383792285,2022-01-30,02:00:11
2584.9360881938273,2022-01-30,02:04:09
2585.2862608840805,2022-01-30,02:09:43
2582.504447219506,2022-01-30,02:14:48
2585.7540169723575,2022-01-30,02:20:15
2585.3924440951296,2022-01-30,02:23:46
2586.3336939326878,2022-01-30,02:29:41
2586.536221460391,2022-01-30,02:34:46
2590.6553816047494,2022-01-30,02:40:44
2590.223770419582,2022-01-30,02:44:29
2588.031900288313,2022-01-30,02:47:55
2582.4382358171174,2022-01-30,02:54:47
2580.60842776276,2022-01-30,02:58:42
2583.431623320708,2022-01-30,03:04:19
2586.799474006411,2022-01-30,03:09:01
2586.385397108636,2022-01-30,03:14:44
2586.649576670768,2022-01-30,03:19:15
2588.7415239818783,2022-01-30,03:24:28
2588.840411920153,2022-01-30,03:30:47
2588.517408169126,2022-01-30,03:33:33
2585.683101840873,2022-01-30,03:38:37
2584.379030998126,2022-01-30,03:43:24
2582.7367009989466,2022-01-30,03:49:24
2578.0641711403787,2022-01-30,03:53:30
2576.988637764188,2022-01-30,03:59:02
2578.2339792618345,2022-01-30,04:04:50
2578.317769690804,2022-01-30,04:08:54
2575.796812629616,2022-01-30,04:14:33
2576.520231823199,2022-01-30,04:18:32
2578.2662923566513,2022-01-30,04:24:17
2579.838809607757,2022-01-30,04:29:31
2580.9178600439514,2022-01-30,04:33:57
2584.0475809630734,2022-01-30,04:40:27
2584.1321114828243,2022-01-30,04:44:53
2590.6382371485015,2022-01-30,04:48:38
2591.8995760025014,2022-01-30,04:54:30
2598.3588315812362,2022-01-30,04:59:47
2595.972425437665,2022-01-30,05:04:11
2599.6218317681337,2022-01-30,05:09:36
2604.419875676011,2022-01-30,05:13:58
2609.0324554777553,2022-01-30,05:18:56
2608.185028371336,2022-01-30,05:24:53
2607.866798332133,2022-01-30,05:28:27
2601.569723057563,2022-01-30,05:34:45
2598.8292517978034,2022-01-30,05:39:39
2602.0896863681146,2022-01-30,05:43:54
2606.6710651320222,2022-01-30,05:49:51
2608.3822410278635,2022-01-30,05:53:43
2608.164360156114,2022-01-30,05:59:07
2606.5315531940755,2022-01-30,06:04:00
2605.5678317138304,2022-01-30,06:09:52
2607.03072564249,2022-01-30,06:14:48
2608.902539137544,2022-01-30,06:20:09
2611.347580362956,2022-01-30,06:24:52
2611.46037774909,2022-01-30,06:29:56
2610.934121693184,2022-01-30,06:34:54
2609.9036544963838,2022-01-30,06:39:55
2608.622247414773,2022-01-30,06:44:46
2608.5482339600712,2022-01-30,06:49:51
2604.102762603764,2022-01-30,06:54:53
2607.5346238439197,2022-01-30,06:59:33
2616.2785656225483,2022-01-30,07:04:32
2626.644616762409,2022-01-30,07:09:57
2626.351534310604,2022-01-30,07:13:57
2621.8423901864926,2022-01-30,07:19:50
2619.0804786182143,2022-01-30,07:24:24
2618.569641608606,2022-01-30,07:29:09
2623.2855563079424,2022-01-30,07:34:49
2622.396383697401,2022-01-30,07:39:42
2619.905648278786,2022-01-30,07:44:02
2616.4978663624615,2022-01-30,07:49:51
2616.7899328420267,2022-01-30,07:54:14
2624.3120536430356,2022-01-30,07:59:48
2624.8643953023266,2022-01-30,08:04:43
2618.741705877331,2022-01-30,08:09:40
2617.949778703441,2022-01-30,08:14:44
2621.089195287523,2022-01-30,08:19:07
2619.3782434797345,2022-01-30,08:24:47
2618.6978812766015,2022-01-30,08:30:48
2614.863405615835,2022-01-30,08:34:11
2610.1956679398972,2022-01-30,08:40:06
2607.825811379539,2022-01-30,08:45:06
2611.500599318423,2022-01-30,08:49:46
2610.9829776523943,2022-01-30,08:55:00
2609.569606845281,2022-01-30,09:00:06
2609.630444584224,2022-01-30,09:02:47
2612.339432423106,2022-01-30,09:06:47
2615.7410886429793,2022-01-30,09:14:36
2616.7073325338297,2022-01-30,09:19:52
