price,date,time
35180.435462830384,2022-01-23,00:02:46
35432.61134395314,2022-01-23,01:00:04
35448.608106994194,2022-01-23,02:02:42
35044.59262923074,2022-01-23,03:00:30
35176.65728559375,2022-01-23,04:01:48
35348.42857530886,2022-01-23,05:02:31
35591.25705774395,2022-01-23,06:00:59
35342.902225939535,2022-01-23,07:02:05
35673.892148853825,2022-01-23,08:02:31
35760.80532005177,2022-01-23,09:02:55
35974.488705639684,2022-01-23,10:03:30
35898.49265417996,2022-01-23,11:00:48
35764.30539081825,2022-01-23,12:03:02
35924.69475847814,2022-01-23,13:00:55
36066.53867510662,2022-01-23,14:03:28
35208.08509273927,2022-01-23,15:03:13
35476.641272607,2022-01-23,16:12:06
35363.39608281859,2022-01-23,17:00:38
35472.73143627676,2022-01-23,18:00:36
35005.57945651765,2022-01-23,19:01:27
34804.560652713786,2022-01-23,20:03:20
35332.049887473404,2022-01-23,21:02:30
35566.67303014184,2022-01-23,22:00:29
35578.38113726986,2022-01-23,23:01:40
